Row,Tasks,WBS,Health,Status,Assigned To,Duration,Start Date,End Date,Baseline Start,Baseline Finish,Variance,Predecessors,Description,Notes
1,Development Phase,1.0,Green,In Progress,FPS,43d,2025-11-05T08:00:00,2026-01-07T16:59:59,2025-11-05,2025-12-12,0.15,,,
2,FPS Draft Proposal,1.1,Green,Complete,FPS,2d,2025-11-05T08:00:00,2025-11-06T16:59:59,2025-11-05,2025-11-05,,,,
3,Draft initial proposal,1.1.1,Green,Complete,FPS,1d,2025-11-05T08:00:00,2025-11-05T16:59:59,2025-11-05,2025-11-05,,,,
4,Submit for stakeholder review,1.1.2,Green,Complete,FPS,1d,2025-11-06T08:00:00,2025-11-06T16:59:59,2025-11-05,2025-11-05,-1.0,3FS,,
5,FPS Final Proposal (SOW),1.2,Green,Complete,FPS,1d,2025-11-07T08:00:00,2025-11-07T16:59:59,2025-11-20,2025-11-20,1.0,2FS,,
6,Finalize SOW contract,1.2.1,Green,Complete,FPS,1d,2025-11-07T08:00:00,2025-11-07T16:59:59,2025-11-20,2025-11-20,13.0,,,
7,Submit SOW for signature,1.2.2,Green,Complete,FPS,1d,2025-11-07T08:00:00,2025-11-07T16:59:59,2025-11-20,2025-11-20,13.0,,,
8,Frontier SOW Approval,1.3,Green,Complete,Frontier,1d,2025-11-10T08:00:00,2025-11-10T16:59:59,2025-11-21,2025-11-21,1.0,5FS,,
9,Obtain formal SOW approval,1.3.1,Green,Complete,Frontier,1d,2025-11-10T08:00:00,2025-11-10T16:59:59,2025-11-21,2025-11-21,11.0,,,
10,Frontier: Staging Setup,1.4,Green,Complete,Frontier,1d,2025-11-21T08:00:00,2025-11-21T16:59:59,2025-11-21,2025-11-21,,8FS,,
11,Provision KnowledgeOwl APIs,1.4.1,Green,Complete,Frontier,1d,2025-11-21T08:00:00,2025-11-21T16:59:59,2025-11-21,2025-11-21,,,,
12,Configure OpenAI LLM API key,1.4.2,Green,Complete,Frontier,1d,2025-11-21T08:00:00,2025-11-21T16:59:59,2025-11-21,2025-11-21,,,,
13,Cognigy: Staging Setup Phase 1,1.5,Green,Complete,Cognigy,1d,2025-12-01T08:00:00,2025-12-01T16:59:59,2025-12-01,2025-12-01,,10FS,,
