Row#,Row_ID,Tasks,WBS,Health,Status,Assigned To,Duration,Start Date,End Date,Baseline Start,Baseline Finish,Variance,Predecessors,Description,Notes
1,4070495058595716,Development Phase,1.0,Green,In Progress,FPS,43d,2025-11-05T08:00:00,2026-01-07T16:59:59,2025-11-05,2025-12-12,0.15,,,
2,5724759996698500,FPS Draft Proposal,1.1,Green,Complete,FPS,2d,2025-11-05T08:00:00,2025-11-06T16:59:59,2025-11-05,2025-11-05,0.0,,,
3,1146662750195588,Draft initial proposal,1.1.1,Green,Complete,FPS,1d,2025-11-05T08:00:00,2025-11-05T16:59:59,2025-11-05,2025-11-05,0.0,,,
4,6776162284408708,Submit for stakeholder review,1.1.2,Green,Complete,FPS,1d,2025-11-06T08:00:00,2025-11-06T16:59:59,2025-11-05,2025-11-05,-1.0,3FS,,
5,3472960183013252,FPS Final Proposal (SOW),1.2,Green,Complete,FPS,1d,2025-11-07T08:00:00,2025-11-07T16:59:59,2025-11-20,2025-11-20,1.0,2FS,,
6,4626549406371716,Finalize SOW contract,1.2.1,Green,Complete,FPS,1d,2025-11-07T08:00:00,2025-11-07T16:59:59,2025-11-20,2025-11-20,13.0,,,
7,2374749592686468,Submit SOW for signature,1.2.2,Green,Complete,FPS,1d,2025-11-07T08:00:00,2025-11-07T16:59:59,2025-11-20,2025-11-20,13.0,,,
8,7976559810383748,Frontier SOW Approval,1.3,Green,Complete,Frontier,1d,2025-11-10T08:00:00,2025-11-10T16:59:59,2025-11-21,2025-11-21,1.0,5FS,,
9,6878349220056964,Obtain formal SOW approval,1.3.1,Green,Complete,Frontier,1d,2025-11-10T08:00:00,2025-11-10T16:59:59,2025-11-21,2025-11-21,11.0,,,
10,658210415906692,Frontier: Staging Setup,1.4,Green,Complete,Frontier,1d,2025-11-21T08:00:00,2025-11-21T16:59:59,2025-11-21,2025-11-21,0.0,8FS,,
11,7436471499689860,Provision KnowledgeOwl APIs,1.4.1,Green,Complete,Frontier,1d,2025-11-21T08:00:00,2025-11-21T16:59:59,2025-11-21,2025-11-21,0.0,,,
12,2932871872319364,Configure OpenAI LLM API key,1.4.2,Green,Complete,Frontier,1d,2025-11-21T08:00:00,2025-11-21T16:59:59,2025-11-21,2025-11-21,0.0,,,
13,5161810043277188,Cognigy: Staging Setup Phase 1,1.5,Green,Complete,Cognigy,1d,2025-12-01T08:00:00,2025-12-01T16:59:59,2025-12-01,2025-12-01,0.0,10FS,,
14,6310571592847236,Validate VoiceGateway license prerequisites,1.5.1,Green,Complete,Cognigy,1d,2025-12-01T08:00:00,2025-12-01T16:59:59,2025-12-01,2025-12-01,0.0,,,[12/10] CLARIFY @Chirag: Confirm predecessor row numbers correct after WBS reorder
15,1806971965476740,Deliver and validate Azure STT/TTS,1.5.2,Green,Complete,Cognigy,1d,2025-12-01T08:00:00,2025-12-01T16:59:59,2025-12-01,2025-12-01,0.0,,,[12/09] INFO: Staging credentials only - see 3.5 for production
16,2407935307091844,Provide voice-focused Cognigy templates,1.5.3,Green,Complete,Cognigy,1d,2025-12-01T08:00:00,2025-12-01T16:59:59,2025-12-01,2025-12-01,0.0,,,
17,1784110322749316,FPS: Knowledgebase Development,1.6,Yellow,In Progress,FPS,13d,2025-11-21T08:00:00,2025-12-11T16:59:59,2025-12-14,2025-12-14,0.0,10FS,,
18,3367676238303108,Validate KnowledgeOwl API,1.6.1,Green,Complete,FPS,1d,2025-11-21T08:00:00,2025-11-21T16:59:59,2025-12-08,2025-12-08,-3.0,,,
19,5619476051988356,Optimize FAQ lookup for voice,1.6.2,Green,Complete,FPS,13d,2025-11-21T08:00:00,2025-12-11T16:59:59,2025-12-08,2025-12-08,-3.0,,,[12/09] STATUS: Complete; accuracy enhancements in progress
20,1115876424617860,Implement query fallback logic,1.6.3,Green,Complete,FPS,13d,2025-11-21T08:00:00,2025-12-11T16:59:59,2025-12-08,2025-12-08,-3.0,,,
21,8434225819094916,Tune LLM responses,1.6.4,Yellow,In Progress,FPS,13d,2025-11-21T08:00:00,2025-12-11T16:59:59,2025-12-14,2025-12-14,-3.0,,,
22,4880335066566532,CSG: Staging Setup,1.7,Yellow,In Progress,CSG,5d,2025-12-08T08:00:00,2025-12-12T16:59:59,2025-12-21,2025-12-21,1.0,8FS,,
23,2268164610527108,Configure IVR routing (SIP REFER) - Staging,1.7.1,Yellow,In Progress,CSG,5d,2025-12-08T08:00:00,2025-12-12T16:59:59,2025-12-21,2025-12-21,3.0,,,
24,4519964424212356,Set up 800 test number (Staging),1.7.2,Yellow,In Progress,CSG,5d,2025-12-08T08:00:00,2025-12-12T16:59:59,2025-12-21,2025-12-21,3.0,,,[12/10] CLARIFY @Angela: Confirm DID count for 800 test number
25,7413609856962436,IGT: Staging Setup,1.8,Yellow,Not Started,IGT,12d,2025-12-08T08:00:00,2025-12-23T16:59:59,2025-12-14,2025-12-14,0.0,8FS,,[12/10] ACTION @Sandeep: Confirm Dec 23 SIP trunk completion - critical path blocker
26,3930626191724420,Configure 800 number (SIP REFER),1.8.1,Red,Not Started,IGT,12d,2025-12-08T08:00:00,2025-12-23T16:59:59,2025-12-14,2025-12-14,-15.0,,,
27,6182426005409668,Set up SIP trunks (NICE CXone),1.8.2,Red,Not Started,IGT,12d,2025-12-08T08:00:00,2025-12-23T16:59:59,2025-12-14,2025-12-14,-15.0,,,
28,1678826378039172,Configure the Signal API,1.8.3,Red,Not Started,IGT,12d,2025-12-08T08:00:00,2025-12-23T16:59:59,2025-12-14,2025-12-14,-15.0,,,"[12/10] ACTION: Signal API (NICE CXOne) - confirm endpoint configuration across IGT/Cognigy (see 3.3.3, 3.4.3)"
29,7308325912252292,Complete queue mapping,1.8.4,Red,Not Started,IGT,12d,2025-12-08T08:00:00,2025-12-23T16:59:59,2025-12-14,2025-12-14,-15.0,,,
30,2804726284881796,Provision 8 DID test numbers,1.8.5,Red,Not Started,IGT,12d,2025-12-08T08:00:00,2025-12-23T16:59:59,2025-12-14,2025-12-14,-15.0,,,
31,2910010229591940,Cognigy: Staging Setup Phase 2,1.9,Green,In Progress,Cognigy,3d,2025-12-26T08:00:00,2025-12-30T16:59:59,2025-12-14,2025-12-14,0.0,13FS,,
32,5056526098567044,Provision VoiceGateway,1.9.1,Green,Complete,Cognigy,3d,2025-12-26T08:00:00,2025-12-30T16:59:59,2025-12-08,2025-12-08,-22.0,13FS,,
33,552926471196548,Connect SIP trunks,1.9.2,Red,Not Started,Cognigy,3d,2025-12-26T08:00:00,2025-12-30T16:59:59,2025-12-14,2025-12-14,-22.0,18FS,,
34,1282035400249220,Assign numbers,1.9.3,Red,Not Started,Cognigy,3d,2025-12-26T08:00:00,2025-12-30T16:59:59,2025-12-14,2025-12-14,-22.0,19FS,,
35,6911534934462340,Create SIP flow,1.9.4,Red,Not Started,Cognigy,3d,2025-12-26T08:00:00,2025-12-30T16:59:59,2025-12-14,2025-12-14,-22.0,20FS,,
36,4035910136434564,FPS: Partner Integrations Development,1.10,Green,Not Started,FPS,9d,2025-12-26T08:00:00,2026-01-07T16:59:59,2025-12-18,2025-12-18,0.0,,,"[12/10] CLARIFY @Chirag: Partner integrations scope - Signal API is NICE CXOne, not FPS-developed"
37,4493576145145732,Implement partner API integrations,1.10.1,Red,Not Started,FPS,9d,2025-12-26T08:00:00,2026-01-07T16:59:59,2025-12-18,2025-12-18,-26.0,28FS,,
38,6745375958830980,Set up data exchange endpoints,1.10.2,Red,Not Started,FPS,9d,2025-12-26T08:00:00,2026-01-07T16:59:59,2025-12-18,2025-12-18,-26.0,37FS,,
39,8331586707591044,QA & Testing Phase,2.0,Green,Not Started,FPS,19d,2025-12-26T08:00:00,2026-01-21T16:59:59,2025-12-14,2025-12-25,0.0,,,
40,376735439196036,FPS: QA Testing,2.1,Green,Not Started,FPS,8d,2025-12-26T08:00:00,2026-01-06T16:59:59,2025-12-14,2025-12-18,0.0,36FS,,[12/10] COMPRESSION @Chirag: Can QA start parallel with partner integrations to save 2-3d?
41,16364796841860,Execute end-to-end test plan (QA),2.1.1,Red,Not Started,FPS,8d,2025-12-26T08:00:00,2026-01-06T16:59:59,2025-12-14,2025-12-18,-25.0,40SS,,
42,8997175772516228,Complete QA environment testing,2.1.2,Red,Not Started,FPS,8d,2025-12-26T08:00:00,2026-01-06T16:59:59,2025-12-14,2025-12-18,-25.0,41SS,,
43,1502635346038660,Frontier: UAT Testing,2.2,Green,Not Started,Frontier,8d,2026-01-08T08:00:00,2026-01-19T16:59:59,2025-12-21,2025-12-25,0.0,40FS +1d,,[12/10] COMPRESSION @Frontier: Approve 8d to 5d reduction via parallel testing?
44,1705214657105796,Execute end-to-end test plan (UAT),2.2.1,Red,Not Started,Frontier,8d,2026-01-08T08:00:00,2026-01-19T16:59:59,2025-12-21,2025-12-25,-31.0,40FS +1d,,
45,7334714191318916,Complete UAT environment testing,2.2.2,Red,Not Started,Frontier,8d,2026-01-08T08:00:00,2026-01-19T16:59:59,2025-12-21,2025-12-25,-31.0,40FS +1d,,
46,3754435159723908,Frontier: UAT Approval,2.3,Green,Not Started,Frontier,1d,2026-01-21T08:00:00,2026-01-21T16:59:59,2025-12-25,2025-12-25,0.0,43FS +1d,,
47,5387531581329284,Obtain formal UAT sign-off,2.3.1,Red,Not Started,Frontier,1d,2026-01-21T08:00:00,2026-01-21T16:59:59,2025-12-25,2025-12-25,-33.0,43FS +1d,,
48,8258034787094404,Production Deployment,3.0,Yellow,Not Started,FPS,44d,2025-12-01T08:00:00,2026-01-30T16:59:59,2025-12-28,2026-01-13,0.0,47FS,,
49,6287709950119812,Frontier: Production ARB Approval,3.1,Green,In Progress,Frontier,14d,2025-12-01T08:00:00,2025-12-18T16:59:59,2025-12-07,2025-12-14,0.0,17FS,,[12/09] DEPENDENCY: ARB approval required; [12/10] ACTION @Frontier: Confirm ARB meeting scheduled
50,7871275865673604,Secure ARB approval,3.1.1,Green,In Progress,Frontier,14d,2025-12-01T08:00:00,2025-12-18T16:59:59,2025-12-07,2025-12-14,0.0,,,
51,2241776331460484,Validate KnowledgeOwl APIs,3.1.2,Green,Complete,Frontier,6d,2025-12-01T08:00:00,2025-12-08T16:59:59,2025-12-01,2025-12-08,0.0,,,
52,6006234973409156,CSG: Production Setup,3.2,Green,In Progress,CSG,6d,2025-12-19T08:00:00,2025-12-29T16:59:59,2025-12-23,2025-12-23,0.0,22FS,,
53,8202281348435844,Configure IVR routing (SIP REFER) - Production,3.2.1,Yellow,In Progress,CSG,6d,2025-12-19T08:00:00,2025-12-29T16:59:59,2025-12-23,2025-12-23,-2.0,,,
54,883931953958788,Set the routing percentage for “Unknown” call types,3.2.2,Yellow,In Progress,CSG,6d,2025-12-19T08:00:00,2025-12-29T16:59:59,2025-12-23,2025-12-23,-2.0,,,[12/10] CLARIFY @Angela: Confirm routing % for Unknown call types
55,2628535252881284,Cognigy: Production Setup,3.3,Green,Not Started,Cognigy,8d,2025-12-19T08:00:00,2025-12-31T16:59:59,2025-12-21,2025-12-21,0.0,17FS,,
56,3394064517369732,Provision 800 number (Cognigy),3.3.1,Red,Not Started,Cognigy,8d,2025-12-19T08:00:00,2025-12-31T16:59:59,2025-12-21,2025-12-21,-22.0,46SS,,
57,5645864331054980,Set up SIP trunks (to Cognigy),3.3.2,Red,Not Started,Cognigy,8d,2025-12-19T08:00:00,2025-12-31T16:59:59,2025-12-21,2025-12-21,-22.0,47FS,,
58,1142264703684484,Configure the Signal API,3.3.3,Red,Not Started,Cognigy,8d,2025-12-19T08:00:00,2025-12-31T16:59:59,2025-12-21,2025-12-21,-22.0,48FS,,[12/09] INFO: Signal API = NICE CXOne endpoint - see 1.8.3 for configuration details
59,6771764237897604,Provision 2 DID test numbers,3.3.4,Red,Not Started,Cognigy,8d,2025-12-19T08:00:00,2025-12-31T16:59:59,2025-12-21,2025-12-21,-22.0,49FS,,
60,7132134880251780,IGT: Production Setup,3.4,Green,Not Started,IGT,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-21,2025-12-21,0.0,22FS,,
61,2831114563948420,Provision 800 number (IGT),3.4.1,Red,Not Started,IGT,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-21,2025-12-21,-23.0,51SS,,
62,5082914377633668,Set up SIP trunks,3.4.2,Red,Not Started,IGT,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-21,2025-12-21,-23.0,52FS,,
63,579314750263172,Configure the Signal API,3.4.3,Red,Not Started,IGT,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-21,2025-12-21,-23.0,53FS,,[12/09] INFO: Signal API = NICE CXOne endpoint - see 1.8.3 for configuration details
64,7897664144740228,Provision 2 DID test numbers,3.4.4,Red,Not Started,IGT,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-21,2025-12-21,-23.0,54FS,,
65,939685392617348,Frontier: Production Credentials,3.5,Green,In Progress,Frontier,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-28,2026-01-11,0.0,50FS,,
66,3135731767644036,Provision Azure Speech STT keys,3.5.1,Red,In Progress,Frontier,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-28,2026-01-11,-30.0,50FS,,
67,7639331395014532,Provision Azure Speech TTS keys,3.5.2,Red,In Progress,Frontier,9d,2025-12-19T08:00:00,2026-01-01T16:59:59,2025-12-28,2026-01-11,-30.0,50FS,,
